ID,English,Ukraine,Polish
loading,Loading,Завантаження,?adowanie
login page,Log In,Увійти,Zaloguj si?
register page,Registration,Реєстрація,Rejestracja
register,Sign Up,Вперед,Zarejestruj si?
user name,Username,Ім'я користувача,Nazwa u?ytkownika
login,Log In,Ввійти,Zaloguj si?
password,Password,Пароль,Has?o
rule text,Rules,Правила,Zasady
play,Play,Грати,Graj
skin,Accounts,Обліки,Konta
setting,Settings,Налаштування,Ustawienia
exit,Exit,Вихід,Wyj?cie
create lobby,Create Lobby,Створити лобі,Utw?rz lobby
createlobby,Create Lobby,Створити лобі,Utw?rz lobby
code lobby,Lobby Code,Код лобі,Kod lobby
connect,Connect,Підключитися,Po??cz
back,Return,Повернутися,Powr?t
only letters and numbers!,Letters and numbers only!,Лише букви та цифри!,Tylko litery i liczby!
try connect,Connecting…,Підключаємся…,??czenie…
hat,Hat,Капелюх,Kapelusz
color,Color,Колір,Kolor
mask,Mask,Маска,Maska
save and back,Save and Return,Зберегти і повернутися,Zapisz i wr??
conys,Cylinder,Циліндр,Cylinder
redtype,Red,Червоний,Czerwony
glasses,Glasses,Окуляри,Okulary
empty,None,Нічого,Brak
greentype,Green,Зелений,Zielony
language,Language,Мова,J?zyk
sound,Sounds,Звуки,D?wi?ki
master audio:,Sound Master:,Майстер звуків:,Mistrz d?wi?ku:
sound volume,Sound Volume,Гучність звуків,G?o?no?? d?wi?k?w
music volume,Music Volume,Гучність музики,G?o?no?? muzyki
screen,Screen,Екран,Ekran
screen type,Screen Type,Тип екрану,Typ ekranu
screen resolution,Screen Resolution,Роздільна здатність екрана,Rozdzielczo?? ekranu
exclusivefullscreen,Exclusive Fullscreen Mode,Ексклюзивний повноекранний режим,Tryb pe?noekranowy wy??czny
fullscreenwindow,Fullscreen Window,Повноекранне вікно,Pe?noekranowe okno
maximizedwindow,Maximized Window,Максимальне вікно,Okno zmaksymalizowane
windowed,Windowed,Віконний,Okienkowy
native,Native,Нативний,Natywny
640x480,640x480,640x480,640x480
1280x1024,1280x1024,1280x1024,1280x1024
1280x720,1280x720,1280x720,1280x720
1366x768,1366x768,1366x768,1366x768
1440x900,1440x900,1440x900,1440x900
1600x900,1600x900,1600x900,1600x900
1920x1080,1920x1080,1920x1080,1920x1080
2560x1440,2560x1440,2560x1440,2560x1440
english,English,Англійська,Angielski
ukraine,Ukrainian,Українська,Ukrai?ski
polish,Polish,Поліська,Polski
are you sure?,Are you sure?,Ви впевнені?,Czy na pewno?
leave,Leave,Покинути,Opu??
stay,Stay,Залишитися,Zosta?
start lobby,Start Game!,Почати гру!,Rozpocznij gr?!
for master,For Lobby Master!,Для майстра лобі!,Dla gospodarza lobby!
start,Play,Грати,Graj
change gambling,Change Dice Type!,Змінити тип купиба!,Zmie? typ ko?ci!
change,Change,Змінити,Zmie?
leave lobby,Leave Lobby,Покинути лобі,Opu?? lobby
master change dust!,Master changed the dice type!,Майстер змінив тип кубика!,Gospodarz zmieni? typ ko?ci!
"login must be at least 6 characters long and may only include letters, digits, underscore, at-sign for email.","Login must be at least 6 characters long and may only include letters, digits, underscores, and at-signs for email.","Логін має містити принаймні 6 символів і може включати лише літери, цифри, підкреслення, знаки для електронної пошти.","Login musi mie? co najmniej 6 znak?w i mo?e zawiera? tylko litery, cyfry, podkre?lniki i znak @."
"username must be 4–16 characters long and may only include letters, digits, and underscore.","Username must be 4–16 characters long and may only include letters, digits, and underscores.","Ім’я користувача має складатися з 4–16 символів і може містити лише літери, цифри та підкреслення.","Nazwa u?ytkownika musi mie? od 4 do 16 znak?w i mo?e zawiera? tylko litery, cyfry i podkre?lniki."
"password must be at least 6 characters long and may only include letters, digits and special symbol(underscore, hyphen,at-sign, dollar sign).","Password must be at least 6 characters long and may only include letters, digits, and special symbols (underscore, hyphen, at-sign, dollar sign).","Пароль має містити принаймні 6 символів і може включати лише літери, цифри та спеціальні символи (підкреслення, дефіс, знак ат, знак долара).","Has?o musi mie? co najmniej 6 znak?w i mo?e zawiera? tylko litery, cyfry oraz znaki specjalne (podkre?lnik, my?lnik, @, $)."
start turn!,Turn starts!,починає хід!,Tura rozpoczyna si?!
wait turn,Waiting for our turn,Чекаєм свого ходу,Oczekiwanie na nasz? tur?
processing...,Taking our turn…,Ходимо…,Wykonujemy nasz? tur?…
ent turn,Turn finished!,закінчив хід!,Tura zako?czona!
throw,Threw,викинув,Rzuci?
finished the game-board round!,Closed the round and received,закрив коло та отримав,Zako?czono rund? i otrzymano
price for breaking the contract,Price for breaking the contract,ціна за розірвання договору,Cena za zerwanie kontraktu
purchased,Purchased,придбав,Kupiono
paid for,Paid,оплатив,Zap?acono
purchased a subscription to,Purchased a subscription to,придбав підписку на,Wykupiono subskrypcj?
unsubscribed from,Unsubscribed from,скасував підписку на,Anulowano subskrypcj?
take credit!,Take Credit!,Взяти кредит!,We? kredyt!
close credit!,Close Credit!,Закрити кредит!,Zamknij kredyt!
pay for credit!,Pay for Credit!,платить за кредит!,Zap?a? za kredyt!
error with data!,Data Error!,Помилка з даними!,B??d danych!
user exist!,Such a user already exists!,Такий користувач уже існує!,Taki u?ytkownik ju? istnieje!
data transfer problems!,Problem with data transmission! Please try again later…,Проблема з передачею даних! Спробуйте пізніше…,Problem z przesy?aniem danych! Spr?buj ponownie p??niej…
an account with this login has been registered!,An account with this login has been registered!,Обліковий запис із цим логіном зареєстровано!,Konto z tym loginem zosta?o zarejestrowane!
no account with this login!,No account with this login exists!,Облікового запису з цим логіном відсутній!,Konto z tym loginem nie istnieje!
incorerect password!,Incorrect password!,Пароль невірний!,Niepoprawne has?o!
buy,Buy,Купити,Kup
rent,Fee,Плата,Op?ata
return,Return,Повернення,Zwr??
take,Take,Взяти,We?
coffestore,Candy,Цукерочка,Cukierek
coffeestorebuy,Become the owner of Candy!,Станьте власником Цукерочки!,Zosta? w?a?cicielem Cukierka!
coffestorerent,You purchased a wonderful coffee at Candy!,Ви придбали чудова каву в Цукерочкі!,Kupi?e? wspania?? kaw? w Cukierku!
smallhotel,Roadside Hotel,Готель при дорозі,Hotel przy drodze
smallhotelbuy,Build a roadside hotel!,Побудуйте готель при дорозі!,Zbuduj hotel przy drodze!
smallhotelrent,You rented a room in a small hotel!,Ви зняли кімнату в маленькому готелі!,Wynaj??e? pok?j w ma?ym hotelu!
beveragefactory,BeerZavr,Пивозавр,BeerZavr
beveragefactorybuy,Purchase a beer manufacturing plant! And every friend of your buyer will buy beer at twice the price!,Придбайте підприємство по виготовленю пива! Та кожен друг вашого покупцю буде купляти пиво в 2 рази дорожче!,Kup fabryk? piwa! A ka?dy znajomy twojego nabywcy b?dzie kupowa? piwo za podw?jn? cen?!
beveragefactoryrent,You purchased great beer at BeerZavr!,Ви придбали чудове пиво в ПивоЗаврі!,Kupi?e? ?wietne piwo w BeerZavr!
playground,Tennis Court!,Тенісний майданчик!,Kort tenisowy!
